Club,Email
VIARMES ASNIERES TC,ctva2@wanadoo.fr
MONTMORENCY TC,montmorency.tennis.club@cegetel.net
LA CHATAIGNERAIE TC,tclachataigneraie@fft.fr
EAUBONNE (JA),jaetennis@hotmail.fr
FOSSES (AT),atfosses@gmail.com
BESSANCOURT TC,tc.bessancourt@fft.fr
MARGENCY (TC),tennis.club.margency@orange.fr
SANNOIS OSS TENNIS-SQUASH-BADMINTON-PADEL,osstennis@wanadoo.fr
MONTLIGNON TC,mairie.montlignon@wanadoo.fr
MERIEL (AT),at-meriel@fft.fr
BEAUCHAMP (AT),atbeauchamp95@gmail.com
MONTIGNY (TENNIS CLUB MUNICIPAL),tcm.mlc.95@free.fr
NESLOIS TC,tcneslois@fft.fr
SURVILLIERS (AVENIR DE),35950012@fft.fr
SAGY TC,
PIERRELAYE (CS),tennis.pierrelaye@gmail.com
A.S.P.T.T. CERGY PONTOISE,
LUZARCHES (TC),bureau@tc-luzarches.fr
MENUCOURT TC,communication@tcmenucourt.fr
WEZIEN TC,tcwezien@fft.fr
SOCCER PARK CHAMPIGNY,creteil@lefive.fr
TRIBAL FOOT,
BEZONS (USO),tennis.bezons@fft.fr
EAUBONNE (CSM),csm-eaubonne@wanadoo.fr
CERGY TC,tc-cergy@fft.fr
GAZELEC CMCAS 94,
OSNY (ATL),atlosny@gmail.com
Tennis Club de Noiseau,president.tcn94@gmail.com
VIGNY TC,tc.vigny@fft.fr
Stage de Tennis pour Tous,contact@assostt.com
MARLY LA VILLE TENNIS CLUB,35950008@fft.fr
Maison des jeunes et de la culture,
PUISEUX TC,tcpf95@gmail.com
Club athlétique de Vitry,
ASSOCIATION SPORTIVE DES TERRASSES,tee-break@wanadoo.fr
Tennis Evolutif du Tremblay,tet94@free.fr
Asso Perso Inter Hospitalier de Saint Maurice,apih94410@gmail.com
Padel Horizon Raquette Club,jb@padel-horizon.com
SPORTING TENNIS CACHAN,
ISG TENNIS,
PASSING CLUB MAISONS ALFORT,pcma.tennis@gmail.com
AS ORLY,34940179@fft.fr
ES VILLIERS,tennis.esv@gmail.com
TC PERREUX,tc.perreux@fft.fr
LES FAISANS DU PARC DE VILLENEUVE LE ROI,faisanduparc@orange.fr
TENNIS CLUB DE CHARENTON,tennisclubcharenton@gmail.com
TC CHEMINOTS ET VILLENEUVOIS,tccv94190@gmail.com
LAWN TENNIS DE SAINT MANDE,ltsm@free.fr
TENNIS CLUB DE BONNEUIL,tennisclubbonneuil@gmail.com
V.G.A. SAINT MAUR,vgatennis@gmail.com
TC THIAIS,contact@tcthiais.fr
US VILLEJUIF,usvtennis@free.fr
ELAN CHEVILLY LARUE,elan.tennis94@orange.fr
BOISSY TC,boissytennisclub@free.fr
US ORMESSON,uso.tennis@orange.fr
CO CHENNEVIERES,contact@coctennis.com
US ALFORTVILLE,usa@tennis-alfortville.com
CT DU PLESSIS TREVISE,ct.plessis@sfr.fr
TENNIS CLUB DE CHOISY LE ROI,contact@tc-choisy.fr
ES CAUDACIENNE,esc.tennis.bureau@gmail.com
AMICALE TENNIS DE SAINT MAUR,contacts@amicale-tennis-saint-maur-94.fr
TC NOGENT,tcnogent@wanadoo.fr
TC ROSERAIE,guillaumecadi@gmail.com
TC MUNICIPAL DE RUNGIS,tcmrungis@gmail.com
TC DE LA FERME DE MANDRES,tcfm@tcfm.fr
TC BRY,tc.bry@fft.fr
TC SANTENY,tcsanteny@gmail.com
TC CRETEIL MONT MESLY,tennistccm@gmail.com
TC THIAIS BELLE EPINE,tctbe@fft.fr
US CRETEIL,creteil.tennis@gmail.com
US FONTENAY,tennis.usf@wanadoo.fr
A.A.S. FRESNES,aasf.tennis@gmail.com
C.A.L. TC L’HAY LES ROSES,34940120@fft.fr
TC LA VARENNE,tc.lavarenne@gmail.com
TC MAROLLES,tcmb94@gmail.com
TC LIMEIL BREVANNES,
US GENTILLY,tennisusgentilly@gmail.com
MAISONS ALFORT TC,contact@maisonsalforttennisclub.com
ES VITRY,esvtennis94@yahoo.fr
C.S. MARNE,tenniscsmarne@gmail.com
AS AIR FRANCE,
ALSACIENNE LORRAINE DE PARIS,info@countryclubdesbordsdemarne.com
TENNIS DE SUCY EN BRIE,tennissucyenbrie@free.fr
AS MACCABI THIAIS,
RED STAR CLUB DE CHAMPIGNY,rscctennis@bbox.fr
TC PERIGNY,tcperigny94@outlook.fr
US IVRY,usivry.tennis@gmail.com
ASCE AEROPORT DE PARIS,
SAINT MAURICE OMINISPORTS CLUB,sports@ville-saint-maurice.fr
FETE LE MUR LA COURNEUVE,mohamed.assaoui@fetelemur.com
SETS CLUB DE CHAMPIGNY,sets.club@orange.fr
AT NOISY LE GRAND,tennisatng@gmail.com
TENNIS CLUB DE SAINT MAUR,tcsm.tennis@gmail.com
AS de Tennis de MONTREUIL,contact@astennismontreuil.fr
COSMA ARCUEIL,cosma.tennis@gmail.com
AS PADEL AFICIONADOS,
TC VILLECRESNES,tennisclubvillecresnes@gmail.com
CSM ILE SAINT-DENIS,mathieuwolff75@gmail.com
TCAV,
J.S.A. MAISONS ALFORT,jsa.tennis@neuf.fr
LE BOURGET TENNIS CLUB,juliencis@hotmail.com
NEUILLY PLAISANCE SPORTS,npstennis93@gmail.com
USM DE GAGNY,usmgagnytennis@fft.fr
TC COURNEUVIEN,tcc93@free.fr
ATSCAF SEINE-SAINT-DENIS,atscaf93@free.fr
ES RAINCY TENNIS,leraincytennis@wanadoo.fr
GENERALI SPORT &amp; CULTURE,
TC ROMAINVILLE,tcromainville@yahoo.fr
URSSAF ATHLETIC CLUB,
STADE OLYMPIQUE DE ROSNY,rosny.tennis@wanadoo.fr
TC PANTIN,tennis.club.pantin@gmail.com
SAINT DENIS UNION SPORT,33930215@fft.fr
EPP GERVAISIENNE,eppg.tennis@free.fr
TC TREMBLAYSIEN,tctremblaysien@fft.fr
TC VILLEMOMBLE SPORTS,33930273@fft.fr
CT ROSE DES VENTS,tennisrosedesvents@hotmail.com
TC LES LILAS,tc.leslilas@fft.fr
TC SEVRANAIS,tennis.sevran.cd@gmail.com
AS ELECTRICITE DE PARIS,
CSM EPINAY,csme.tennis@orange.fr
TC LIVRY GARGAN,tclg@fft.fr
TC LA NEGRESSE,tclanegresse@fft.fr
MONTFERMEIL TENNIS 93,montfermeiltennis@gmail.com
ATHLETIC CLUB BOBIGNY,acb.tennis@bbox.fr
TC NEUILLY SUR MARNE,tennistcnm@free.fr
AIRBUS SPORTING CLUB,
RHODIA RECHERCHES,
AS BONDY,asbondytennis@gmail.com
AS PIERREFITTE,
TC GOURNAY,tc.gournay@fft.fr
CE CIBIE SPORTS,
TC VAUJOURS,
ASS PERS SPORT &amp; ADM DU DEPART.,
BLANC-MESNIL SPORT TENNIS,bms.tennis@free.fr
VILLEPINTE TENNIS,villepinte.tennis@orange.fr
TENNIS ENERGY,tennis.energysports@orange.fr
TC DUGNY,tcdugny@fft.fr
TC CLICHY SOUS BOIS,tcclichysousbois@orange.fr
SE PAVILLONS TENNIS,contactseptennis@gmail.com
AS GAZIERS DE PARIS,
PLESSIS ROBINSON (TC),tc.plessis-robinson@orange.fr
CLUB AULNAYSIEN DE TENNIS,clubaulnaysientennis@wanadoo.fr
MENIL (TC DU),tcmenil@orange.fr
GARCHES TENNIS CLUB,contact@garchestc.fr
CHAVILLE (CT),club.tennis-chaville@fft.fr
VAUCRESSON (TC),clubinfo@tennis-vaucresson.com
COLOMBES (TC),ctcolombes@fft.fr
BOIS-COLOMBES SPORTS,bois-colombes-sports@orange.fr
GOLF ET TENNIS DES HARAS DE JARDY (AS),accueil@golftennisjardy.com
PASSING SPORT,
DASSAULT SPORTS TENNIS CLUB,secretariat@dassault-sports.fr
TC COUBRONNAIS,michel.metenier@fft.fr
AEROPORTS PARIS TENNIS NORD,aptn@fft.fr
ASD JAD Tennis Drancéen,asd.jad.tennisdrancy@gmail.com
STADE DE VANVES,tennis@stadedevanves.com
ESPERANCE SPORTIVE STAINS,ess.tennisclub@free.fr
VILLENEUVE-LA-GARENNE (AMICALE),avgtennis92@gmail.com
CM AUBERVILLIERS,miramont.nicole@neuf.fr
CHATENAY-MALABRY TENNIS,secretariat@cmtennis.fr
USM AUDONIENNE,usmatennis@gmail.com
COURBEVOIE ST,info@courbevoiest.com
RENAULT (ES),esrenault.tennis@wanadoo.fr
PEUPLIERS (TC),
ESSO SPORTS,so-sports@hotmail.fr
ASF Tennis,contact@asftennis.com
LA FONTAINE (TC),32920133@fft.fr
MEUDONNAISE (AS),asm.tennis@asmeudontennis.fr
MONTROUGE (CA),accueil@camontrouge.fr
NEUILLY (AT),at-neuilly@wanadoo.fr
SEVRES (TC),tennis-club-de-sevres@orange.fr
AZUR TENNIS CLUB D’ASNIERES,contact@azur-atc.com
CHEMINOTS DE L’OUEST (AS),asco.tennis@free.fr
PUTEAUX (CSM),csmputeauxtennis@fft.fr
CLAMART (TC),tennis.clamart@fft.fr
RUEIL ATHLETIC CLUB,club@rueil-ac-tennis.fr
CLICHY (CS),csclichytennis@fft.fr
SCEAUX (TC),club@tcsceaux.org
VILLE D’AVRAY (US),usva.asso@infonie.fr
BERANGER (TC),tc.beranger@fft.fr
TOTAL (TC),jean-louis.carre@outlook.com
PARIS COUNTRY CLUB,ptetar@pariscountryclub.com
SAINT CLOUD (UAS),uastennis@sfr.fr
FRUIT DEFENDU (ASTC),
NANTERRE (ES),esn.tennis@wanadoo.fr
LA CHATAIGNERAIE (TC),infos@tennisclubdelachataigneraie.com
ISSY-LES-M. BEAUVOIR (TC),club@tennis-issy.com
SURESNES (TC),tcsuresnes@gmail.com
BAGNEUX (COM),combt.tennis@wanadoo.fr
CHATILLONNAIS (TCM),tcmc@wanadoo.fr
STANDARD ATHLETIC CLUB,contact@saclub.org
GARENNOIS (TC),cloiseau.tcga@gmail.com
MALAKOFF (USM),club.usmmalakoff-tennis@fft.fr
LEVALLOIS SPORTING CLUB TENNIS,lsct@levallois-tennis.com
HAUTS DE SEINE (ASTC),
MONT VALERIEN (TC),tcmv.suresnes@orange.fr
BOIS COLOMBES (SC),sportingclub.bc@free.fr
BOULOGNE BILLANCOURT (TC),tcbb@fft.fr
CEE 92 (AS),
RUEIL (TC),TennisBUZENVAL@mairie-rueilmalmaison.fr
MBDA Sport Tennis,claire.gillet@mbda-systems.com
CLUB DEFENSE BALARD ARCUEIL,contact@cdba.club
C.T. DRAVEIL,ct.draveil@fft.fr
ARSENAL CHATILLON (TC),arsenalchatillon@yahoo.fr
S.L.C. ST MICHEL,slctennis.stmichel@gmail.com
FOREST HILL (TC MEUDON),
T.C. VILLEBON,tc.villebon@fft.fr
ANTONY (TC),contact@tc-antony.com
T.C. CHAMPLAN,co.champlan@fft.fr
GENNEVILLOIS (TC),club.tc.gennevillois@fft.fr
T.C. CORBREUSE,
A.S. SAULX LES CHARTREUX,slcecoledetennis@gmail.com
Energy Tennis Bièvres Academy,contact@energyacademy.fr
PSUC Tennis,
Snecma Sports Corbeil,SSCORBEIL@FREE.FR
AS de l’institut Mines Telecom Evry Tennis,stephane.dehors@tem-tsp.eu
FETE LE MUR GRIGNY,
PARTOUT – B14,contact@b-14.fr
Tennis Academy SDN,donascimento.torrenova@gmail.com
MONTROUGE (SMTC),club.smtc-montrouge@fft.fr
BOURG LA REINE (AS),tennisblr@fft.fr
A.S. EGLY,as-egly-tennis@fft.fr
BONDOUFLE A.C.,bondoufleactennis@fft.fr
C.S. BRETIGNY,cs.bretigny@fft.fr
TENNIS CLUB BREUILLET PORT SUD,tenniscpsbreuillet@gmail.com
T.C. EPINAY SOUS SENART,tc.epinay-senart@fft.fr
A.T. LES ULIS,tennislesulis@orange.fr
T.C. LIMOURS,tc.limours@fft.fr
T.C.M. CHILLY-MAZARIN,tcm-chilly-mazarin@fft.fr
MASSY A.S.,mastennis91@gmail.com
T.C. MONTLHERY LINAS,carolelibs.tcml@sfr.fr
US Bures sur Yvette Tennis,usby.tennis@free.fr
Amicale du Tennis Brunoyen,atbrunoyen91@orange.fr
TC Chevry 2 – Gif sur Yvette,tc.chevry2@fft.fr
VILLEMOISSON TENNIS,tennisclubvillemoisson@gmail.com
SAINT MICHEL SPORTS TENNIS,sms.tennis@fft.fr
C.O. COURCOURONNES,
U.S GRIGNY TENNIS,
T.C. BOUSSY-ST-ANTOINE,boussytennisclub@fft.fr
T.C. EPINAY SUR ORGE,tc.epinay91@gmail.com
TENNIS CLUB MORSAINTOIS,tcmorsang@gmail.com
U.S. RIS ORANGIS,usro.tennis@wanadoo.fr
STE GENEVIEVE S.T.C.,ste-genevieve-stc@fft.fr
T.C. SAINTRY,tc.saintry@fft.fr
C.O. SAVIGNY TENNIS,cosavignytennis@free.fr
CLUB LA THEUILLERIE,
T.U. VERRIERES LE BUISSON,31910261@fft.fr
C.O. VIGNEUX,co.vigneux-tennis@sfr.fr
E.S. VIRY-CHATILLON,esv.tennis@wanadoo.fr
T.C. YERRES,tcy2@wanadoo.fr
T.C. DE LA JUINE,tc.lajuine@fft.fr
A.S.C.E.A. GRAND RUE,
U.S. MEREVILLOISE TENNIS,us.merevilloisetennis@gmail.com
T.C. IGNY,tc.igny@fft.fr
T.C. MONTGERON,tc.montgeron@fft.fr
T.C. MENNECY,tc.mennecy@fft.fr
TC MAZIERES DE DRAVEIL,31910180@fft.fr
T.C. PARAY TENNIS,tc.paray@fft.fr
T.C. ORSAY,tc.orsay@fft.fr
T.C. PALAISEAU,tcpalaiseau@orange.fr
C.S. QUINCY,
CHEVANNES T.C.,chevannestc91@sfr.fr
LEUDEVILLE T.C.,
T.M. MORANGIS,tm.morangis@fft.fr
T.C. LA FERTE ALAIS,
T.C. CERNOIS,tccernois@gmail.com
TC SERMAISE,tennisclubdesermaise@gmail.com
AVIATION CIVILE ESSONNE,athistennis@gmail.com
Tennis Club VILLIERS SUR ORGE,
TC NOKIA Paris Saclay,tennisvx@gmail.com
T.C. DANNEMOIS,
A.S DE CHAUDE VALLEE MOIGNY,
T.C. GIF SUR YVETTE,tcgif@free.fr
T.C. LONGJUMEAU,tclongjumeau@fft.fr
Tennis Club Sportif de Brunoy,tennisclub-brunoy@orange.fr
T.C.M. ETIOLLES,julienmurat@hotmail.fr
A.S. VILLIERS LE BACLE,info@asvlb-tennis.fr
T.C. ROINVILLE SOUS DOURDAN,tcroinville@fft.fr
C.S. MACHERY VAUGRIGNEUSE,
T.C. JUVISY,tc.juvisy@fft.fr
T.C. VILLABE,olivier.vernay@yahoo.fr
T.C. FORGES LES BAINS,tcforgeslesbains@gmail.com
T.C. OLLAINVILLE,tcollainville91@fft.fr
A.S.C.B. SECTION TENNIS,ascb.tennis@fft.fr
T.C. DOURDAN,tcdourdan@orange.fr
U.S. SOISY SUR ECOLE,
DRAVEIL CITADELLE TENNIS CLUB,draveil-citadelle.tc@fft.fr
U.S.C. FERTOISE,jesus.madicopolo@free.fr
T.C. VARENNES JARCY,tennisclubvarennes@gmail.com
T.C. NAINVILLE LES ROCHES,tc.nainville@fft.fr
A.S. PECQUEUSE,
T.C. VILLENEUVE SUR AUVERS,tc.villeneuve.sur.auvers@gmail.com
T.C. ECOLE POLYTECHNIQUE,MailCSX@polytechnique.fr
C.T. VILLEJUST,tennisvillejust@gmail.com
T.C. LA VILLE DU BOIS,bureau@tcvb.fr
T.C. ETAMPES,tc.etampes@fft.fr
STADE VERTOIS TENNIS,stade-vertois-tc@fft.fr
T.C. ETRECHY,tcetrechy@gmail.com
A.S. EVRY,evry.tennis@fft.fr
T.C. BRUYERES LE CHATEL,tc.bruyereslechatel@fft.fr
T.C. BOTIGNACOIS,tcboutigny@gmail.com
E.S. PLESSIS PATE TENNIS,espp-tennis@fft.fr
A.S. TIGERY,tigery.tennisclub@gmail.com
T.C. COUDRAY MONTCEAUX,tccoudray@gmail.com
T.C. BRIIS SOUS FORGES,tennis.briis@fft.fr
C.O. DE FONTENAY,philvacar@free.fr
T.C. CentraleSupelec,tc.supelec@fft.fr
T.C. ST AUBIN,tc.saint.aubin@gmail.com
T.C. DES MOLIERES,tennisclubmolieres@gmail.com
E.T. ORSAY,contact@ato-club.com
C.O. SACLAY,saclaytennis@gmail.com
TENNIS CLUB WISSOUS 91,secretariatwissoustennis@gmail.com
A.T. BOULLAY LES TROUX,midorge@free.fr
A.S. CORBEIL ESSONNES,as.corbeil-essonnes@fft.fr
T.C. MORIGNY-CHAMPIGNY,tc.morigny.champigny@gmail.com
A.S. CHEPTAINVILLE,as.cheptainville@fft.fr
A.S. ST GERMAIN LES ARPAJON,assga.tennis@gmail.com
T.C. ST PIERRE DU PERRAY,31910042@fft.fr
CSV ST VRAIN,
VAL TENNIS SAINT GERMAIN,valtennis@gmail.com
T.C. PUSSAY,tc.pussay@fft.fr
A.S.L. JANVILLE LARDY,asljltennis@fft.fr
T.C. LISSES,tclisses@sfr.fr
T.C. HEWLETT-PACKARD FRANCE,
A.S. NOZAY,asnozay.tennis@fft.fr
A.S. AIR FRANCE PARIS SUD,
COSEG CORBEIL,TENCOS@ORANGE.FR
T.C. BOISSY SOUS SAINT YON,tcbuxeen@gmail.com
T.C. LE PARC YERRES,tennisclubduparc@outlook.fr
T.C. BIEVROIS,tcb.bievres@laposte.net
U.S.O. ATHIS MONS,usoamtennis@fft.fr
LONGPONT T.C.,longpont.tc@gmail.com
ASSOCIATION TENNIS MILLY LA FORET,atmilly@free.fr
T.C. GRAND VERTOIS,tcgrandvertois@fft.fr
T.C. BALLANCOURT,tcb.tennis91@gmail.com
A.S. BALLAINVILLIERS TENNIS,as.ballainvilliers.tennis@gmail.com
A.M.S.L. LA NORVILLE,tc.la.norville@gmail.com
T.C. ST MAURICE MONTCOURONNE,tcsmm91@gmail.com
T.C. ANGERVILLE,
A.S.P.T.T. EVRY,
T.C. ST CHERON,tennisclubsaintcheron@gmail.com
A.S. C.E.A. SACLAY,
E.S. MASSY,esmassytennis@fft.fr
T.M. SACLAS,
U.S. MAROLLES,us.marolles@fft.fr
TENNIS CROSNOIS,tennis.crosnois@fft.fr
OXYGENE-PSA,olivier.letinaud@mpsa.com
T.C. ARPAJON,tc.arpajon@fft.fr
TENNIS AERO ZP,tennis.aeroZP@gmail.com
T.C. MARCOUSSIS,
AS General Electric,
T.C. SOISY SUR SEINE,tcsoisysurseine@gmail.com
AS ETOILE GUYNEMER THALES,
T.C. ST GERMAIN LES CORBEIL,tcsg@fft.fr
USM GAMBAIS,usmgambais@wanadoo.fr
T.C. DES PORTES DE L’ILE DE FRANCE,info.tcpif@gmail.com
BOUGIVAL TENNIS CLUB EN SEINE,tennis-bougival@orange.fr
T.C. DE LA VAUCOULEURS,t.bredzinski@free.fr
T.C. BONNELLES BULLION,tennisclub2b@gmail.com
LE PADEL CLUB BOIS D ARCY,contact@lepadelclub.com
TC SPEIG,
T.C. CROISSY SUR SEINE,tenniscroissy@wanadoo.fr
A.T. LA VERRIERE,atlv.president@gmail.com
LES ESSARTS T.C.,essartstc@gmail.com
A.D.A.S.I.N DE LA RECHERCHE AG,
SARTROUVILLE T.C.,stc78@wanadoo.fr
MONTVAL CLUB DE MARLY,thierry.celdran@noos.fr
A.S. FONTENAY LE FLEURY,asfftennis78@gmail.com
BULL SPORTS,
ASSOCIATION SPORTS ET LOISIRS DES TECHNODES,xschokkaert@ciments-calcia.fr
A.S. LOUVECIENNES,as.louveciennes@fft.fr
U.S. CARRIERES SUR SEINE,tennis@usc.asso.fr
T.C.M. LE MESNIL SAINT DENIS,tcm.msd@wanadoo.fr
T.C. BAILLY NOISY LE ROI,secretariat.tcbn@fft.fr
T.C. VOISINS LE BRETONNEUX,tennisclubvoisins@orange.fr
T.C. VERNOUILLET,tcvernouillet@gmail.com
ANDRESY T.C.,andresytennis@wanadoo.fr
A.S.M. CHAMBOURCY,contact@asm-chambourcy.fr
TC DE CLAIREFONTAINE,tennisclubclairefontaine@gmail.com
U.S. SAINT ARNOULT TENNIS,ussatennis1@free.fr
T.C. NEAUPHLE LE CHATEAU,tc.neauphle@free.fr
VERNEUIL A.C.,vac.tennis@orange.fr
AOBUC TENNIS,secretariat@aobuctennis.fr
T.C. VERSAILLAIS,
TC DU GRAND VERSAILLES,tcgv78@wanadoo.fr
T.C. DU MAIL VERSAILLES,chduplessis@sfr.fr
U.S. VESINET,usv-tennis@orange.fr
VESINET IBIS TENNIS CLUB,vitc.levesinet@wanadoo.fr
T.C. VILLENNES,tcvillennes@gmail.com
T.C. VILLEPREUX,tennisclubvillepreux@gmail.com
U.S.M.VIROFLAY TENNIS,tcviroflay@wanadoo.fr
T.C. DES SOUDANES,tcsoudanes@gmail.com
T.C.M. BOIS D’ARCY,tcmba@fft.fr
T.C. HOUILLES,info@tennisclubhouilles.com
T.C. PLAISIR,club.tc-plaisir@fft.fr
TRAPPES PASSING SHOT,tennistrappes78@gmail.com
T.C. MAULE,tc.maule@gmail.com
T.C. LE CHESNAY TRIANON,tennis.trianon@free.fr
T.C. ELANCOURT,club.tc-elancourt@wanadoo.fr
T.C. TRIEL,tctriel@fft.fr
LA CLAIRIERE RAMBOUILLET T.C.,contact@laclairiere-tc.fr
A.S. MINORANGE,
A.S. ST LAMBERT DES BOIS,aslambert@gmx.fr
T.C. ROCHEFORT,tennis.rochefort@gmail.com
A.S.C.O.H.,mairie@lahautevill.fr
CASTEL CLUB LOUVECIENNES,
TC ST REMY L’HONORE,tcsrhsport@gmail.com
U.S. PECQ SECTION TENNIS,uspecqtennis@wanadoo.fr
T.C. RAMBOUILLET,tennis-club-rambouillet@orange.fr
T.C. ST FRANCOIS D’ASSISE,tennis.dsfa@gmail.com
T.S. FOREST-HILL VERSAILLES,dominique.morin@forest-hill.com
T.C. DES LOGES ST GERMAIN,tcloges@wanadoo.fr
T.C. MAUREPAS,tcmaurepas@fft.fr
T.C. ST LOUIS DE POISSY,tcslp@tennispoissy.com
T.C. BAZEMONT,tc.bazemont@fft.fr
A.S.T. ST NOM LA BRETECHE,ast-st-nom@orange.fr
ASPTT YVELINES,christophe.denis@laposte.fr
T.C. ST REMY LES CHEVREUSE,tennisclubsaintremy78@gmail.com
U.S.M. ROCQUENCOURT,usmr-tennis@wanadoo.fr
T.C. MEULAN,tcmeulan@orange.fr
T.C. MORAINVILLIERS-BURES,sec.tcmb@tcmb.fr
T.C. LEVIS ST NOM,38780133@fft.fr
MERE T.C.,jeanguy.mutez@free.fr
T.C. RENAULT FLINS,patrick.leviels@wanadoo.fr
T.C. BLARU,xavier.rambat@gmail.com
UNION SPORTIVE DAVRON-TENNIS,tennis@davron.fr
T.C. NEZEL,jeanpierre.chigot@sfr.fr
A.S.C. TOUSSUS,tennis@toussusports.fr
T.C. LE TREMBLAY SUR MAULDRE,tennis.club.tremblay@gmail.com
T.S. MAISONS LAFFITTE,tsml@wanadoo.fr
T.C. JUZIERS,patrick.graziuzo@gmail.com
A.S MANTAISE,asmantes.tennis@orange.fr
T.C. BOISSY SANS AVOIR,tc.boissy-sans-avoir@fft.fr
U.S. MARLY LE ROI,usmr.tennis@orange.fr
T.C. HELENE BOUCHER,tchb@orange.fr
T.C SAINT GERMAIN BEL AIR,tcbelair@fft.fr
A.S. LES LOGES EN JOSAS,asltennis.loges@gmail.com
T.C. AUFFARGIS,jean-michel.lesprit@wanadoo.fr
T.C. JOSASSIEN,tennisclubjosassien@sfr.fr
T.C. GUERVILLE,tcguerville@free.fr
AXA ASSURANCES,francois.remy@axa.fr
T.C. SAINTE MESME,jpm.mollet@wanadoo.fr
T.C. ISSOU,
T.C. SAINT MARC ORGEVAL,tcsm.orgeval@gmail.com
T.C. CONFLANS STE HONORINE,contact@tcconflans.fr
T.C. CARRIERES SOUS POISSY,tennis.club.carrieres@gmail.com
C.T. THOIRY,clubtennisthoiry@sfr.fr
U.S.Y. SAINT LEGER EN YVELINES,usy@free.fr
T.C. IGNYMONTAIN,tc.ignymontain@yahoo.fr
C.S.A BASE AERIENNE 107,csaba1070@laposte.net
A.S. PORCHEVILLOISE,tennisporcheville@yahoo.fr
T.C. BREVAL,tcbreval@fft.fr
A.L.J. TENNIS LIMAY,tennis.alj@free.fr
TENNIS ECQUEVILLY CLUB,escetennis789@gmail.com
VILLIERS SPORT &amp; CULTURE TENNIS,tennis-villiers-saint-frederic@gmx.fr
LIBERTY COUNTRY CLUB,accueil@mouratoglou.com
A.S. LES PYRAMIDES,tennis@les-pyramides.com
C.S.M. ROSNEEN,carriere.philippe@free.fr
A.S. FOURQUEUX SECTION TENNIS,contact@tennisfourqueux.fr
T.C. L’ETANG LA VILLE,tcev.serratrice@free.fr
A.S. ORPHIN,edouard.tennis.orphin@hotmail.com
T.C. LE MESNIL LE ROI,tcmr78@gmail.com
T.C. PARC DE MEZY,
